match_id,radiant_win,radiant_team,dire_team
8988836303,False,"83,87,97,11,48","12,106,7,96,102"
8988836290,True,"9,69,23,11,21","4,22,49,14,26"
8988836076,True,"42,45,8,27,26","91,81,47,84,28"
8988835953,True,"21,22,61,14,71","113,107,67,26,28"
8988835943,True,"83,90,11,14,31","120,64,135,80,121"
8988835897,False,"48,10,8,98,25","40,93,27,75,44"
8988835881,True,"97,123,108,14,20","86,114,105,99,46"
8988835821,False,"97,114,29,1,11","54,27,42,106,91"
8988835707,False,"47,3,106,107,30","123,84,13,109,51"
8988835679,True,"49,58,8,42,30","7,67,77,1,9"
8988835561,True,"14,75,110,72,100","101,107,85,145,2"
8988835509,False,"49,20,22,8,37","43,120,55,90,91"
8988835317,False,"74,81,119,57,44","108,25,21,20,5"
8988835236,True,"1,86,20,8,42","18,88,71,108,55"
8988835233,True,"31,11,135,19,8","42,62,93,39,20"
8988835185,False,"67,86,119,37,2","107,14,8,145,27"
8988835151,False,"50,20,25,22,42","58,108,67,84,26"
8988835014,True,"8,62,74,97,14","85,129,3,55,35"
8988835009,False,"28,48,12,67,14","50,95,71,22,44"
8988834864,True,"32,99,21,6,7","22,23,113,54,39"
8988834858,True,"121,108,15,100,88","7,6,74,25,14"
8988834857,False,"5,74,48,86,104","54,128,19,136,53"
8988834713,True,"126,19,26,16,107","62,29,25,6,37"
8988834653,True,"101,14,121,8,22","120,68,89,52,85"
8988834589,False,"36,7,62,18,3","59,64,110,61,11"
8988834551,False,"36,84,6,14,30","108,145,25,34,91"
8988834450,True,"54,102,86,76,62","99,101,46,93,68"
8988834424,True,"14,21,7,20,27","111,57,54,72,52"
8988834387,False,"15,89,84,41,74","25,26,14,30,1"
8988834339,True,"74,57,26,6,18","84,93,14,86,97"
8988834335,False,"74,22,86,21,145","59,5,108,53,40"
8988834319,False,"48,36,84,98,9","123,76,41,5,49"
8988834317,True,"33,48,86,121,23","17,74,39,12,20"
8988834303,True,"12,69,123,44,2","56,89,25,74,73"
8988834168,True,"14,88,48,25,60","62,54,86,98,44"
8988834079,False,"14,53,60,41,8","114,9,108,86,145"
8988834025,False,"30,11,97,31,21","4,68,84,86,33"
8988833991,False,"98,30,11,109,40","6,14,50,99,123"
8988833959,True,"54,35,84,88,14","7,86,104,22,128"
8988833947,True,"20,84,1,137,54","57,22,70,14,6"
8988833909,True,"37,135,36,86,32","62,129,107,126,8"
8988833908,True,"11,17,50,3,96","108,14,106,59,8"
8988833893,False,"2,5,18,86,21","106,84,74,30,36"
8988833892,False,"119,109,81,87,84","129,53,11,27,35"
8988833852,True,"20,119,135,6,13","44,62,36,84,5"
8988833847,True,"107,75,100,45,44","120,12,19,26,68"
8988833815,True,"109,62,81,136,72","52,123,4,36,88"
8988833814,False,"12,40,14,111,62","63,35,88,68,26"
8988833798,True,"90,145,2,6,69","14,29,15,48,50"
8988833784,True,"119,20,74,11,48","8,120,50,104,62"
8988833663,False,"22,42,67,68,62","86,106,2,12,9"
8988833632,True,"41,49,101,73,86","26,48,36,40,2"
8988833606,False,"16,25,14,123,9","113,26,97,6,99"
8988833573,False,"50,43,49,5,44","64,96,102,11,68"
8988833562,False,"129,8,100,15,39","47,9,30,6,69"
8988833551,True,"121,40,85,53,67","80,113,135,87,83"
8988833531,False,"86,9,95,97,91","39,26,54,21,94"
8988833530,True,"11,61,25,31,7","14,100,32,3,119"
8988833514,True,"14,74,35,41,76","26,95,9,84,108"
8988833479,False,"17,32,74,20,44","80,135,114,12,35"
8988833438,False,"38,74,91,8,105","64,120,44,128,20"
8988833403,True,"137,74,36,105,54","63,119,72,16,64"
8988833375,False,"31,67,85,84,91","1,54,22,104,2"
8988833349,True,"25,114,35,74,42","12,86,19,96,91"
8988833321,True,"14,16,55,85,112","128,71,35,90,84"
8988833290,True,"64,84,101,85,42","35,8,62,26,30"
8988833288,True,"97,74,10,114,111","71,86,47,105,19"
8988833204,False,"20,19,44,30,22","120,55,8,18,45"
8988833152,True,"99,21,71,107,54","86,114,74,85,8"
8988833052,True,"41,5,56,88,98","30,68,108,44,47"
8988833043,True,"84,34,28,58,100","26,86,25,69,42"
8988833027,True,"94,14,54,11,10","53,85,26,5,44"
8988833023,True,"35,2,84,48,31","68,95,86,90,29"
8988833015,True,"90,64,93,75,77","36,22,32,41,9"
8988832992,False,"6,37,93,28,91","59,109,14,42,35"
8988832960,False,"25,40,145,47,53","104,14,114,85,15"
8988832937,True,"71,28,19,20,86","26,114,2,22,42"
8988832933,False,"97,50,55,113,48","11,69,39,84,5"
8988832926,False,"64,84,9,135,76","102,39,55,113,3"
8988832848,True,"14,27,7,42,6","40,47,34,80,20"
8988832778,False,"100,26,11,55,137","83,39,35,14,128"
8988832747,True,"99,5,8,14,76","30,6,86,32,96"
